apple_music_id,artist,name,key,bpm,djay_bpm,djay_manual_bpm,apple_music_bpm,djay_am_bpm_diff,open_key,essentia_key,comment,key_diff
BEBE2BBCBD21B21E,Niju,Idea of Unity,,100.0,100.0,,100,0.0,Key 1m,Key 1m,Key 1m,0
A86813743D11A6B8,Melanie De Biasio,Afro Blue,,102.0,102.0,,102,0.0,Key 1m,Key 1m,Key 1m,0
42E24D587F0704D8,mytripismytrip,patience,,102.0,102.0,,102,0.0,Key 1d,Key 1m,Key 1m,0
6CDC4C63EAC0C1FC,Nicolas Jaar,Can't See What Is Burning There,,107.0,107.0,,107,0.0,Key 1m,Key 1m,Key 1m,0
FE83082FF58824E7,Ninze,Nice First Song,,107.0,107.0,,107,0.0,Key 10m,Key 10m,Key 10m,0
CE94C1AFB2980B3F,Sailor & I,Tough Love (Aril Brikha Remix),,107.0,107.0,,107,0.0,Key 5d,Key 5d,Key 5d,0
A860D8E7612D05CF,Nutia,Backand4,,108.0,108.0,,108,0.0,Key 2m,Key 2m,Key 2m,0
BBE41E3F08F3D454,Luca Musto,Tight Situation,,109.0,109.0,,109,0.0,Key 12m,Key 12m,Key 12m,0
452361605135D100,Mosley Jr,My Friend Steve,,110.0,110.0,,110,0.0,Key 11m,Key 11m,Key 11m,0
EF2F94C0D2372251,Ray Mang,Look Into My Eyes,,110.0,110.0,,110,0.0,Key 9m,Key 9m,Key 9m,0
DD24B6F784F34BE3,Saâda Bonaire,You Could Be More As You Are,,110.2,110.2,,110,0.2,Key 2m,Key 2m,Key 2m,0
A866C9C0960E60E6,Superpitcher,Little Raver (Original Mix),,110.0,110.0,,110,0.0,Key 10m,Key 10m,Key 10m,0
24CC869366EA91D0,Toro y Moi,Rose Quartz,,110.0,110.0,,110,0.0,Key 10m,Key 10m,Key 10m,0
523903D4C3E6473D,Against All Logic,Such a Bad Way,,111.0,111.0,,111,0.0,Key 9d,Key 9d,Key 9d,0
2EB10433CAD55948,ELIXIR,Aconite,,111.0,111.0,,111,0.0,Key 9m,Key 9m,Key 9m,0
35DC97DB30C08D8A,Andy Pickford,Temple of The Wonklord,,112.0,112.0,,112,0.0,Key 3m,Key 3m,Key 3m,0
ED5428EECDCCB5DC,Behling and Simpson,Left Behind,,113.0,113.0,,113,0.0,Key 2m,Key 2m,Key 2m,0
E7B99ED5908B2FB0,Zohra,Badala Zamana,,112.5,112.5,,113,-0.5,Key 3m,Key 3d,Key 3m,0
A8349B85981555B6,Frank & Tony feat. Gry,Bring the Sun (Vocal),,114.0,114.0,,114,0.0,Key 1m,Key 1d,Key 1m,0
9DD5530EE9F203AC,Letherette,Langsette,,114.0,114.0,,114,0.0,Key 11d,Key 11m,Key 11m,0
87E8CF8A567FA307,Luca Musto,Word,,114.0,114.0,,114,0.0,Key 5m,Key 5m,Key 5m,0
DAB620B71FE46FD6,Superpitcher,Smile It's a New Day,,114.01,114.01,,114,0.01,Key 4m,Key 4m,Key 4m,0
540F34976C192B42,Arutani & Faber,Summon Ghosts,,115.0,115.0,,115,0.0,Key 11m,Key 11m,Key 11m,0
B1BB63F715E1025E,Dorothy's Ghost,Never Said Goodbye (Lee Waxman's Long Hot Disco Mix),,115.0,115.0,,115,0.0,Key 12m,Key 12m,Key 12m,0
4CA015B06EE4512F,Lokke,Tuo Volto,,115.0,115.0,,115,0.0,Key 1m,Key 1d,Key 1m,0
8E85195807BCA9CC,Noir & Haze,Around (Solomun Vox),,115.0,115.0,,115,0.0,Key 9m,Key 9m,Key 9m,0
AA3AEE0E79B9DD66,Voyage,Dynamic,,115.0,115.0,,115,0.0,Key 5m,Key 5m,Key 5m,0
26633170F9D4C17F,WIDE AWAKE,Mint,,115.0,115.0,,115,0.0,Key 2m,Key 2m,Key 2m,0
9390368920ED7093,Yoko Duo,Blowfish (Lake People Remix),,115.0,115.0,,115,0.0,Key 4m,Key 4m,Key 4m,0
2E19A46A360DA756,Dürerstuben,Trunce Zen Dance,,116.0,116.0,,116,0.0,Key 7m,Key 7m,Key 7m,0
5A1B6D51BAE14FCA,Glok,That Time of Night,,116.0,116.0,,116,0.0,Key 10m,Key 10m,Key 10m,0
CD8E3B692D05383C,Hot Natured,Benediction,,116.0,116.0,,116,0.0,Key 1m,Key 1m,Key 1m,0
B00486A7A8036839,Jacob Mikesh Filburt,Philipp Dolphia,,116.0,116.0,,116,0.0,Key 7d,Key 7d,Key 7m,0
D36273B37EB783C5,Neşe Karaböcek,Yali Yali (Todd Terje Edit),,116.0,116.0,,116,0.0,Key 12m,Key 12m,Key 12m,0
1AE21EF973CDAAE5,Pachanga Boys,Drunken Dancer,,115.84,115.84,,116,-0.16,Key 9m,Key 9m,Key 9m,0
0CD11A830061EC94,Arutani,Any Kind of Magic,,117.0,117.0,,117,0.0,Key 8d,Key 8m,Key 8m,0
5F736BC677098D71,DJ Koze feat. Arnim Teutoburg-Weiß und The Düsseldorf Düsterboys,Wie schön du bist,,117.0,117.0,,117,0.0,Key 9m,Key 9m,Key 9m,0
E1AEA68E27474ED4,John Talabot feat. Pional,So Will Be Now,,117.0,117.0,,117,0.0,Key 9m,Key 9m,Key 9m,0
AABC6298806E8E24,Midnight Magic,Beam Me Up (Jacques Renault Remix),,117.0,117.0,,117,0.0,Key 9m,Key 9m,Key 9m,0
1B2B22180EFAB735,Tell,I Lost 200€ In A Club,,117.3,117.3,,117,0.3,Key 8m,Key 8m,Key 8m,0
4D24CEA1A632921F,Andre Bratten,Aegis,,118.0,118.0,,118,0.0,Key 9m,Key 9m,Key 9m,0
E4DC58AA7B1DF31E,Axel Boman,Hello,,118.0,118.0,,118,0.0,Key 11m,Key 11m,Key 11m,0
18D5700DE4E9EEA8,David August,Epikur,,118.0,118.0,,118,0.0,Key 9m,Key 9m,Key 9m,0
E0496ABB8A7468B7,DJ Koze,My Grandmotha,,118.01,118.01,,118,0.01,Key 8d,Key 8d,Key 8d,0
F9CCC4AB6B1C5A54,Galcher Lustwerk,I Neva Seen,,118.0,118.0,,118,0.0,Key 9m,Key 9m,Key 9m,0
182511C4C27EE861,Herbert,It's Only (DJ Koze Remix),,118.0,118.0,,118,0.0,Key 4m,Key 4m,Key 4m,0
